"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
5,0.329147406545644,0.898296791087484,0.126917772360927,1,-4.48439469078689,0.000999000999000999,1000,5,0.577146770601712,1.00625500831777,0.0584660306956136,1,-7.33944536016277,0.000999000999000999,1000,1.15500377520782,"Czech Republic",2020-08-01,63
2,0.0136612021856308,1.0094920983148,0.125685492899457,1,-7.92319680781132,0.000999000999000999,1000,2,0.0136612021856308,1.00825682068309,0.133034824997179,1.5,-7.47620496000619,0.0014985014985015,1000,NA,"Finland",2020-08-01,63
2,1.0556530989636,1.00907133254403,0.13610274845039,563,0.342254414035997,0.562437562437562,1000,2,1.0556530989636,1.01041032936126,0.137642484741533,550.5,0.328697710501973,0.54995004995005,1000,NA,"France",2020-08-01,63
2,0.923047749009129,1.01238602133155,0.134417199322369,166,-0.664634234106928,0.165834165834166,1000,2,0.923047749009129,1.00780494217699,0.134366322089154,189.5,-0.630791941388596,0.189310689310689,1000,NA,"Germany",2020-08-01,63
5,0.678776191412908,0.910000703843419,0.119310012077855,84,-1.93801432422643,0.0839160839160839,1000,5,0.995421232350691,1.00587218580726,0.0580556722509971,391,-0.1800160613313,0.390609390609391,1000,-0.908671329394002,"Hungary",2020-08-01,63
3,0.306979949863792,0.96023742328616,0.118939607883354,1,-5.49234594806322,0.000999000999000999,1000,3,0.577530027232115,1.00768461019082,0.0894989813897891,2,-4.80625115815876,0.001998001998002,1000,1.0092419165564,"Iceland",2020-08-01,63
2,0.159388960709521,1.00591729774229,0.14402878006116,10,-5.87749432212994,0.00999000999000999,1000,2,0.159388960709521,1.00277105819963,0.152382031045931,10,-5.53465583639513,0.00999000999000999,1000,NA,"Ireland",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Lithuania",2020-08-01,63
4,0.367125691024171,0.922096528295065,0.13039923395554,2,-4.25593633057778,0.001998001998002,1000,4,0.573037617220052,1.01076135087013,0.0659291874480791,1,-6.63930120471745,0.000999000999000999,1000,0.298198881409552,"Luxembourg",2020-08-01,63
2,0.156278495895094,1.00537097312991,0.141080897471434,9.5,-6.01847941466871,0.00949050949050949,1000,2,0.156278495895094,1.00233117147895,0.135171076493914,5.5,-6.25912508451426,0.00549450549450549,1000,NA,"Malta",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Netherlands",2020-08-01,63
