"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
94,0.466398923117021,0.783460744543102,0.0593036760011411,1,-5.34641092771348,0.000999000999000999,1000,94,1.60784604502974,1.65131882308488,0.0193426997210581,19,-2.24750312428239,0.018981018981019,1000,-0.724063845424468,"Baden-Wurttemberg",2020-12-01,651
124,0.655160724781452,0.708319061207543,0.0500113157942912,140,-1.06292617144377,0.13986013986014,1000,124,1.64588772093899,1.6511122118436,0.0160642076980661,352,-0.325225557513292,0.351648351648352,1000,-4.54860436055733,"Bavaria",2020-12-01,651
3,1.4076664,1.55371649562537,0.261521287367567,292,-0.558463508250071,0.291708291708292,1000,3,1.59333308,1.64602165636407,0.177443248243836,289,-0.296931987469391,0.288711288711289,1000,-0.850333783734547,"Berlin",2020-12-01,651
11,0.592007224727273,1.29772530827967,0.171958791397973,1,-4.10399536897838,0.000999000999000999,1000,11,1.55369283818182,1.65324193033836,0.0635106290370722,77,-1.56743987055201,0.0769230769230769,1000,-0.559965000541871,"Brandenburg",2020-12-01,651
7,1.23657078257143,1.37526484930186,0.188916405501195,234,-0.734155757211625,0.233766233766234,1000,7,1.59733248361905,1.65561620630502,0.0883823391321086,195,-0.659449877184766,0.194805194805195,1000,-2.03695025553744,"Hamburg",2020-12-01,651
44,0.74369314975,0.976008712224925,0.0969970262729944,5,-2.39507922460511,0.004995004995005,1000,44,1.62613182933721,1.65207718685341,0.0289697468452863,176,-0.895601803314546,0.175824175824176,1000,-3.35725618316164,"Hesse",2020-12-01,651
32,0.171987801625,1.06081139342779,0.112431455387212,1,-7.9054708376912,0.000999000999000999,1000,32,1.38969811153629,1.65028696550352,0.0376888294142972,1,-6.91421989000201,0.000999000999000999,1000,2.9172847921287,"Lower Saxony",2020-12-01,651
94,0.478897503978723,0.781773807872488,0.0624181068331368,1,-4.85237888908499,0.000999000999000999,1000,94,1.63671698911508,1.65271445775389,0.0192127107730041,177,-0.832650260956011,0.176823176823177,1000,-0.784928016265995,"North Rhine-Westphalia",2020-12-01,651
6,1.12949318166667,1.42155598865465,0.21179873160126,100,-1.37896390965094,0.0999000999000999,1000,6,1.60914969933333,1.65212380995913,0.101156503003639,256,-0.424827958161562,0.255744255744256,1000,-1.71917313526056,"Rhineland-Palatinate",2020-12-01,651
79,0.374734702227848,0.828800550782584,0.0667966041484015,1,-6.79773851296303,0.000999000999000999,1000,79,1.49869914554365,1.65317943930463,0.0204851278108153,1,-7.54109494398234,0.000999000999000999,1000,2.66370162663694,"Saarland",2020-12-01,651
24,0.814334909583333,1.12334488232685,0.126258517478545,9,-2.44743862762386,0.00899100899100899,1000,24,1.62912152322464,1.65401149371584,0.0406908343864461,244,-0.611684937566601,0.243756243756244,1000,-2.86895411528223,"Saxony",2020-12-01,651
39,0.474210722384615,1.00388668127495,0.0999240915455069,1,-5.30078333160643,0.000999000999000999,1000,39,1.64551305529555,1.65185299925533,0.0318158035424427,369,-0.199270276211114,0.368631368631369,1000,1.09896136288413,"Saxony-Anhalt",2020-12-01,651
70,0.428091348457143,0.859347781261724,0.0738850007656531,1,-5.83686036862112,0.000999000999000999,1000,70,1.48715219959006,1.65152305472889,0.0232631544109544,1,-7.06571655052173,0.000999000999000999,1000,-0.0780698508910172,"Schleswig-Holstein",2020-12-01,651
24,0.340402596833333,1.12853047832468,0.123453812944013,1,-6.38398979097365,0.000999000999000999,1000,24,1.53350415987319,1.64952538660072,0.0434675306816698,19,-2.66914694504266,0.018981018981019,1000,0.362766641279507,"Thuringia",2020-12-01,651
117,0.666102504632479,0.870957680082121,0.0558368311154813,1,-3.66881807862561,0.000999000999000999,1000,117,1.83559475021574,1.82002115762987,0.0212868858317885,763,0.731605022403796,0.762237762237762,1000,-3.86852982803295,"Baden-Wurttemberg",2021-01-01,1187
121,0.727416454710744,0.862204781992457,0.0557616579025433,11,-2.4172223773778,0.010989010989011,1000,121,1.87039903747218,1.82009778109957,0.0207110584752724,1001,2.42871490284607,1,1000,-5.60429708082847,"Bavaria",2021-01-01,1187
65,0.818894658075385,1.0021283053532,0.0752321954571958,10,-2.43557490465721,0.00999000999000999,1000,65,1.78313758998923,1.82035472729037,0.0290370142023101,107,-1.28171364458601,0.106893106893107,1000,-4.16116649610528,"Berlin",2021-01-01,1187
67,0.605366292208955,0.995861939738239,0.074815344904197,1,-5.2194592971445,0.000999000999000999,1000,67,1.68371091985256,1.81966904926782,0.0298922268975319,1,-4.54827704477559,0.000999000999000999,1000,-2.51524302747587,"Brandenburg",2021-01-01,1187
56,0.438428045678571,1.03554099295235,0.0862974145965201,1,-6.9192449167284,0.000999000999000999,1000,56,1.65239361586623,1.81939234916525,0.0314729912820764,1,-5.30609664020459,0.000999000999000999,1000,1.53594366970459,"Bremen",2021-01-01,1187
37,0.868288358054054,1.1237475983203,0.10495217450545,7,-2.43405381041417,0.00699300699300699,1000,37,1.73475853915315,1.82399454830421,0.0394283004595194,27,-2.26324767010115,0.026973026973027,1000,-2.44534352312545,"Hamburg",2021-01-01,1187
41,0.564821566387805,1.11088156906964,0.0965174378919228,1,-5.65763052364996,0.000999000999000999,1000,41,1.80840497156341,1.81952767072313,0.0389787818741143,334,-0.285352661754131,0.333666333666334,1000,-0.776747183794978,"Hesse",2021-01-01,1187
90,0.647195200788889,0.928675679893362,0.0652241628967286,1,-4.31558592097456,0.000999000999000999,1000,90,1.69088157785044,1.81855416511202,0.0247135792608758,1,-5.16609050894163,0.000999000999000999,1000,-1.17940017634447,"Lower Saxony",2021-01-01,1187
24,0.670025109416667,1.23017428943969,0.128884997873517,1,-4.34611622194176,0.000999000999000999,1000,24,1.59191755915942,1.82036420609156,0.0472072287055935,1,-4.8392302025785,0.000999000999000999,1000,-0.577511808182791,"Mecklenburg-Western Pomerania",2021-01-01,1187
111,0.684630890207207,0.881453347451617,0.0563327228619441,1,-3.49392763646038,0.000999000999000999,1000,111,1.83801000245799,1.82128484899392,0.0210529900696167,791,0.794431261723683,0.79020979020979,1000,-4.4994850530842,"North Rhine-Westphalia",2021-01-01,1187
