"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
11,1.5872214591,1.8794678,0.27816423, 162.0, -1.05062508,0.161838162,1000,11,3.2349683265,2.7605083,0.36449667, 914.0,  1.30168553,0.913086913,1000,-1.557040809, 3.300024e-01, 6.600000e-02, 2.620000e-01,"Tuscany",2021-03-01,768
63,0.4858580535,1.2582325,0.12310475,   1.0, -6.27412374,0.000999001,1000,63,2.2400531123,2.7356121,0.14183599,   1.0, -3.49388752,0.000999001,1000, 4.218028919,-1.246273e-01, 0.000000e+00, 6.740000e-01,"Umbria",2021-03-01,768
75,0.6546970193,1.2065798,0.11302400,   1.0, -4.88288141,0.000999001,1000,75,2.4678106226,2.7341106,0.13355719,  31.0, -1.99390205,0.030969031,1000, 0.879461063, 1.664919e-01, 0.000000e+00, 2.750000e-01,"Veneto",2021-03-01,768
62,0.2474057650,0.9588811,0.10820829,   1.0, -6.57505384,0.000999001,1000,62,2.8886797869,3.0244918,0.07408564,  50.0, -1.83317535,0.049950050,1000, 5.629714439,-7.635617e-02, 0.000000e+00, 6.670000e-01,"Abruzzo",2021-06-01,822
79,0.3879606608,0.8855209,0.09296301,   1.0, -5.35223921,0.000999001,1000,79,2.8160107551,3.0279104,0.05773585,   3.0, -3.67015814,0.002997003,1000, 4.831504294,-1.673792e-02, 0.000000e+00, 5.530000e-01,"Apulia",2021-06-01,822
26,0.5465968065,1.2135706,0.18224109,   1.0, -3.65984295,0.000999001,1000,26,2.1571123744,3.0192483,0.12722992,   1.0, -6.77620400,0.000999001,1000, 1.544803768, 1.545545e-01, 0.000000e+00, 3.200000e-01,"Basilicata",2021-06-01,822
20,0.1877663480,1.3089348,0.20582572,   1.0, -5.44717357,0.000999001,1000,20,2.5802656756,3.0267043,0.14417618,   6.0, -3.09647997,0.005994006,1000, 2.963526529,-1.036208e-01, 0.000000e+00, 6.220000e-01,"Calabria",2021-06-01,822
83,0.5900887290,0.8719018,0.08707712,   1.0, -3.23636248,0.000999001,1000,83,2.9668097446,3.0286850,0.05772202, 150.0, -1.07195269,0.149850150,1000, 2.107666465, 4.705373e-02, 0.000000e+00, 4.040000e-01,"Campania",2021-06-01,822
30,0.9116450733,1.1803365,0.16344053,  44.0, -1.64397082,0.043956044,1000,30,3.0022527264,3.0277969,0.10757835, 358.0, -0.23744679,0.357642358,1000,-0.877004412, 4.711498e-01, 0.000000e+00, 4.500000e-02,"Emilia-Romagna",2021-06-01,822
47,0.6297974217,1.0422457,0.12639998,   1.0, -3.26304030,0.000999001,1000,47,3.0784855013,3.0219769,0.08460207, 764.0,  0.66793378,0.763236763,1000, 2.044156283, 3.560994e-01, 0.000000e+00, 4.500000e-02,"Friuli-Venezia Giulia",2021-06-01,822
74,0.5623899272,0.9092360,0.09715542,   1.0, -3.57001299,0.000999001,1000,74,2.8665907954,3.0242439,0.06027204,  13.0, -2.61569176,0.012987013,1000, 1.104538288, 3.080470e-01, 0.000000e+00, 2.700000e-02,"Lazio",2021-06-01,822
 9,1.4836072200,1.5749490,0.32014914, 391.0, -0.28531024,0.390609391,1000, 9,3.3618791194,3.0171786,0.26480728, 954.0,  1.30170323,0.953046953,1000,-0.018598206, 7.609646e-01, 3.080000e-01, 1.030000e-01,"Liguria",2021-06-01,822
40,0.8246500583,1.0974060,0.14020362,  27.0, -1.94542720,0.026973027,1000,40,2.8292485775,3.0202168,0.09328491,  41.0, -2.04715071,0.040959041,1000, 0.305229865, 3.488340e-01, 0.000000e+00, 6.400000e-02,"Lombardia",2021-06-01,822
 5,0.5110254340,1.9216167,0.46814414,   2.0, -3.01315592,0.001998002,1000, 5,1.8730148000,3.0177722,0.45232063,  21.0, -2.53085380,0.020979021,1000, 0.868953328, 9.756544e-01, 5.450000e-01, 1.550000e-01,"Molise",2021-06-01,822
20,0.7749000600,1.2841190,0.20664107,   9.0, -2.46426776,0.008991009,1000,20,2.5973688856,3.0272926,0.14457930,  16.0, -2.97361847,0.015984016,1000, 0.248489839, 1.918471e-01, 0.000000e+00, 2.770000e-01,"Piemonte",2021-06-01,822
59,0.4627344697,0.9755222,0.10935919,   1.0, -4.68902279,0.000999001,1000,59,2.7668407202,3.0261521,0.07307839,  10.0, -3.54840067,0.009990010,1000, 4.136770253,-3.072365e-01, 0.000000e+00, 9.520000e-01,"Sardegna",2021-06-01,822
25,0.8488731864,1.2299641,0.18080664,  22.0, -2.10772621,0.021978022,1000,25,2.0428917201,3.0238113,0.12310545,   1.0, -7.96812489,0.000999001,1000, 0.188760037,-4.634317e-02, 0.000000e+00, 5.550000e-01,"Sicialia",2021-06-01,822
44,0.4304090695,1.0699043,0.13139396,   1.0, -4.86700672,0.000999001,1000,44,3.0778654207,3.0261789,0.08256734, 724.0,  0.62599271,0.723276723,1000, 3.617991219,-2.771013e-01, 0.000000e+00, 8.930000e-01,"Sicilia",2021-06-01,822
45,0.4161102109,1.0658195,0.12855973,   1.0, -5.05375442,0.000999001,1000,45,2.9284359880,3.0252452,0.08850428, 132.0, -1.09383605,0.131868132,1000, 2.636778175, 2.713169e-02, 0.000000e+00, 4.590000e-01,"Trentino-Alto Adige",2021-06-01,822
 6,1.3848440183,1.7805640,0.42751296, 183.0, -0.92563275,0.182817183,1000, 6,3.3268991600,3.0174335,0.36599615, 842.0,  0.84554359,0.841158841,1000,-0.246756001, 9.024693e-01, 4.910000e-01, 1.130000e-01,"Tuscany",2021-06-01,822
67,0.4353430487,0.9396465,0.09828698,   1.0, -5.13092841,0.000999001,1000,67,2.2318724876,3.0213965,0.06944412,   1.0,-11.36919860,0.000999001,1000, 5.838654722, 2.531241e-03, 0.000000e+00, 5.050000e-01,"Umbria",2021-06-01,822
81,0.5829041591,0.8796202,0.08496577,   1.0, -3.49218311,0.000999001,1000,81,3.0461536608,3.0266326,0.06127118, 614.0,  0.31860102,0.613386613,1000, 4.035404086, 1.844363e-01, 0.000000e+00, 1.180000e-01,"Veneto",2021-06-01,822
78,0.4133638035,1.0094301,0.09543356,   1.0, -6.24587661,0.000999001,1000,78,2.3452514447,2.7427814,0.12583848,   1.0, -3.15904951,0.000999001,1000, 3.265486332, 3.569739e-02, 0.000000e+00, 4.830000e-01,"Abruzzo",2021-05-01,809
46,0.5369218376,1.1931477,0.13271885,   1.0, -4.94448131,0.000999001,1000,46,2.8780862030,2.7432880,0.16704254, 781.0,  0.80696926,0.780219780,1000, 3.486812229,-1.439167e-01, 0.000000e+00, 7.060000e-01,"Apulia",2021-05-01,809
24,0.6681205746,1.4278230,0.19914928,   1.0, -3.81473856,0.000999001,1000,24,1.9964606247,2.7441072,0.23829366,   2.0, -3.13750079,0.001998002,1000, 1.404049254,-5.351621e-02, 0.000000e+00, 5.550000e-01,"Basilicata",2021-05-01,809
